Word,Description
bag,물건을 넣어 가지고 다닐 수 있는 물건
shoes,발을 보호하고 편하게 해주는 신발
hat,머리에 쓰는 보호구 또는 장식
gloves,손을 따뜻하게 보호하는 용품
coat,추운 날씨에 입는 두꺼운 옷
scarf,목을 감싸 따뜻하게 하는 천
music,소리와 리듬을 조합한 예술
dance,음악에 맞춰 몸을 움직이는 활동
game,규칙을 따라 즐기는 오락 활동
movie,영상과 소리로 이루어진 이야기
pizza,반죽 위에 치즈와 토핑을 올려 구운 음식
bread,밀가루로 만들어 구운 기본적인 음식
cheese,우유로 만든 부드럽고 짭짤한 식품
butter,우유에서 추출한 크림성 식품
honey,벌이 꽃에서 만든 달콤한 액체
sugar,음식을 달게 만드는 하얀 가루
salt,음식의 맛을 내는 하얀 가루
car,바퀴가 달린 이동 수단
bus,여러 사람이 함께 타는 대형 차량
train,철로 위를 달리는 긴 이동 수단
plane,하늘을 나는 교통수단
boat,물을 떠서 이동하는 교통수단
pilot,비행기를 조종하는 사람
doctor,환자를 치료하는 전문가
nurse,환자를 돕는 의료 종사자
police,법을 집행하고 질서를 유지하는 사람
fireman,불을 끄고 구조하는 사람
chef,음식을 조리하는 전문가
writer,책이나 글을 쓰는 사람
artist,그림을 그리거나 예술을 창조하는 사람
actor,영화나 연극에서 연기하는 사람
singer,노래를 부르는 직업
scientist,자연과학을 연구하는 사람
engineer,기계를 설계하고 만드는 직업
lawyer,법률을 다루는 전문가
puppy,아직 어린 개
kitten,어린 고양이
bear,산에 사는 커다란 동물
panda,대나무를 먹고 사는 귀여운 동물
wolf,무리를 이루어 사냥하는 동물
squirrel,나무를 타고 다니는 작은 동물
butterfly,날개가 아름다운 곤충
bee,꽃에서 꿀을 만드는 곤충
ant,무리 지어 생활하는 작은 곤충
mosquito,사람의 피를 빠는 해충
house,사람이 사는 공간
apartment,여러 가구가 함께 사는 건물
library,책을 빌릴 수 있는 조용한 공간
hospital,아픈 사람을 치료하는 시설
bicycle,두 바퀴로 움직이는 탈것
airplane,하늘을 나는 비행 수단
helicopter,공중에서 회전하며 나는 기체
television,영상과 소리를 제공하는 기기
computer,정보를 처리하는 전자 기기
keyboard,컴퓨터 입력을 위한 도구
camera,사진을 찍는 기기
violin,줄을 문질러 소리를 내는 악기
piano,건반을 눌러 연주하는 악기
guitar,현을 튕겨서 연주하는 악기
drum,두드려서 연주하는 악기
flute,입으로 부는 관악기
soccer,발로 공을 차며 경기하는 스포츠
tennis,라켓으로 공을 치는 스포츠
basketball,손으로 공을 던져 골을 넣는 경기
baseball,배트로 공을 치는 스포츠
volleyball,네트를 사이에 두고 공을 넘기는 경기
swimming,물을 이용하여 이동하는 스포츠
running,빠르게 이동하는 운동
cycling,자전거를 타는 스포츠
hiking,산을 오르는 야외 활동
skiing,눈 위를 미끄러지듯 이동하는 스포츠
camping,야외에서 텐트를 치고 머무는 활동
reading,책을 읽는 활동
writing,글을 쓰는 활동
drawing,그림을 그리는 활동
cooking,음식을 만드는 활동
gardening,식물을 기르는 활동
knitting,실을 엮어 옷을 만드는 활동
singing,목소리로 노래하는 활동
dancing,음악에 맞춰 움직이는 활동
